tag_id,name,category,count,right_tag_cn
385430,hatsune_miku_(VOCALOID),4,89677,初音未来(VOCALOID)
12239,hakurei_reimu_(touhou),4,73962,博丽灵梦(东方 Project)
12242,kirisame_marisa_(touhou),4,67226,雾雨魔理沙(东方 Project)
12248,remilia_scarlet_(touhou),4,49813,蕾米莉亚·斯卡蕾特(东方 Project)
12249,flandre_scarlet_(touhou),4,48265,芙兰朵露·斯卡蕾特(东方 Project)
12314,izayoi_sakuya_(touhou),4,44493,十六夜咲夜(东方 Project)
388200,kochiya_sanae_(touhou),4,34152,东风谷早苗(东方 Project)
9123,alice_margatroid_(touhou),4,33846,爱丽丝·玛格特罗依德(东方 Project)
12247,patchouli_knowledge_(touhou),4,33570,帕秋莉·诺蕾姬(东方 Project)
12244,konpaku_youmu_(touhou),4,33386,魂魄妖梦(东方 Project)
1720,cirno_(touhou),4,33294,琪露诺(东方 Project)
427142,komeiji_koishi_(touhou),4,31713,古明地恋(东方 Project)
12246,yakumo_yukari_(touhou),4,31287,八云紫(东方 Project)
12308,shameimaru_aya_(touhou),4,27523,射命丸文(东方 Project)
12304,reisen_udongein_inaba_(touhou),4,26079,铃仙·优昙华院·因幡(东方 Project)
12307,fujiwara_no_mokou_(touhou),4,25741,藤原妹红(东方 Project)
427143,komeiji_satori_(touhou),4,24629,古明地觉(东方 Project)
11374,hong_meiling_(touhou),4,24348,红美铃(东方 Project)
592924,akemi_homura_(mahou_shoujo_madoka_magica),4,24201,晓美焰(魔法少女小圆)
12245,saigyouji_yuyuko_(touhou),4,23212,西行寺幽幽子(东方 Project)
592925,kaname_madoka_(mahou_shoujo_madoka_magica),4,23211,鹿目圆(魔法少女小圆)
395218,inubashiri_momiji_(touhou),4,21718,犬走椛(东方 Project)
12250,yakumo_ran_(touhou),4,19328,八云蓝(东方 Project)
390427,kagamine_rin_(VOCALOID),4,19045,镜音铃(VOCALOID)
427145,kaenbyou_rin_(touhou),4,18358,火焰猫燐(东方 Project)
384842,moriya_suwako_(touhou),4,18215,洩矢诹访子(东方 Project)
2082,rumia_(touhou),4,18126,露米娅(东方 Project)
401582,kazami_yuuka_(touhou),4,17493,风见幽香(东方 Project)
593109,miki_sayaka_(mahou_shoujo_madoka_magica),4,17374,美树沙耶香(魔法少女小圆)
427184,reiuji_utsuho_(touhou),4,17240,灵乌路空(东方 Project)
474,chen_(touhou),4,17156,橙(东方 Project)
1414209,mash_kyrielight_(fate_grand_order),4,16080,玛修·基列莱特(Fate/Grand_Order)
473327,tatara_kogasa_(touhou),4,15983,多多良小伞(东方 Project)
383392,kawashiro_nitori_(touhou),4,15870,河城荷取(东方 Project)
12302,kamishirasawa_keine_(touhou),4,15819,上白泽慧音(东方 Project)
415326,hinanawi_tenshi_(touhou),4,15462,比那名居天子(东方 Project)
604258,sakura_kyoko_(mahou_shoujo_madoka_magica),4,14872,佐仓杏子(魔法少女小圆)
593108,tomoe_mami_(mahou_shoujo_madoka_magica),4,14796,巴麻美(魔法少女小圆)
12306,houraisan_kaguya_(touhou),4,14523,蓬莱山辉夜(东方 Project)
1799,koakuma_(touhou),4,14297,小恶魔(东方 Project)
12300,mystia_lorelei_(touhou),4,14283,米斯蒂娅·萝蕾拉(东方 Project)
475833,souryuu_asuka_langley_(neon_genesis_evangelion),4,13517,惣流明日香(新世纪福音战士)
12303,inaba_tewi_(touhou),4,13472,因幡帝(东方 Project)
12313,ibuki_suika_(touhou),4,13410,伊吹萃香(东方 Project)
473267,nazrin_(touhou),4,12879,娜兹琳(东方 Project)
